iata,nom,ville,pays,latitude,longitude
CPH,Kastrup,Copenhague,DK,55.6180,12.6508
ARN,Arlanda,Stockholm,SE,59.6519,17.9186
HEL,Vantaa,Helsinki,FI,60.3172,24.9633
WAW,Chopin,Varsovie,PL,52.1657,20.9671
KRK,Jean-Paul II,Cracovie,PL,50.0777,19.7848
PRG,Vaclav Havel,Prague,CZ,50.1008,14.2600
BUD,Ferenc Liszt,Budapest,HU,47.4369,19.2556
OTP,Henri Coanda,Bucarest,RO,44.5711,26.0850
SOF,Sofia,Sofia,BG,42.6967,23.4114
ZAG,Franjo Tudman,Zagreb,HR,45.7429,16.0688
LJU,Joze Pucnik,Ljubljana,SI,46.2237,14.4576
BTS,M. R. Stefanik,Bratislava,SK,48.1702,17.2127
VNO,Vilnius,Vilnius,LT,54.6341,25.2858
RIX,Riga,Riga,LV,56.9236,23.9711
TLL,Lennart Meri,Tallinn,EE,59.4133,24.8328
LCA,Larnaca,Larnaca,CY,34.8751,33.6249
MLA,Malte,La Valette,MT,35.8575,14.4775
KEF,Keflavik,Reykjavik,IS,63.9850,-22.6056
OSL,Gardermoen,Oslo,NO,60.1939,11.1004
BGO,Flesland,Bergen,NO,60.2934,5.2181
ZRH,Zurich,Zurich,CH,47.4647,8.5492
GVA,Cointrin,Geneve,CH,46.2381,6.1089
LHR,Heathrow,Londres,GB,51.4700,-0.4543
LGW,Gatwick,Londres,GB,51.1537,-0.1821
STN,Stansted,Londres,GB,51.8860,0.2389
MAN,Manchester,Manchester,GB,53.3537,-2.2750
EDI,Edimbourg,Edimbourg,GB,55.9500,-3.3725
IST,Istanbul,Istanbul,TR,41.2753,28.7519
SAW,Sabiha Gokcen,Istanbul,TR,40.8986,29.3092
CMN,Mohammed V,Casablanca,MA,33.3675,-7.5899
RAK,Menara,Marrakech,MA,31.6069,-8.0363
TUN,Carthage,Tunis,TN,36.8510,10.2272
ALG,Houari Boumediene,Alger,DZ,36.6910,3.2154
CAI,Le Caire,Le Caire,EG,30.1219,31.4056
DXB,Dubai,Dubai,AE,25.2532,55.3657
DOH,Hamad,Doha,QA,25.2731,51.6081
TLV,Ben Gourion,Tel Aviv,IL,32.0114,34.8867
JFK,John F. Kennedy,New York,US,40.6413,-73.7781
EWR,Newark,Newark,US,40.6895,-74.1745
BOS,Logan,Boston,US,42.3656,-71.0096
ORD,O'Hare,Chicago,US,41.9742,-87.9073
LAX,Los Angeles,Los Angeles,US,33.9416,-118.4085
SFO,San Francisco,San Francisco,US,37.6213,-122.3790
MIA,Miami,Miami,US,25.7959,-80.2870
YUL,Trudeau,Montreal,CA,45.4706,-73.7408
YYZ,Pearson,Toronto,CA,43.6777,-79.6248
MEX,Benito Juarez,Mexico,MX,19.4363,-99.0721
GRU,Guarulhos,Sao Paulo,BR,-23.4356,-46.4731
EZE,Ezeiza,Buenos Aires,AR,-34.8222,-58.5358
NRT,Narita,Tokyo,JP,35.7720,140.3929
HND,Haneda,Tokyo,JP,35.5494,139.7798
PEK,Capital,Pekin,CN,40.0799,116.6031
PVG,Pudong,Shanghai,CN,31.1443,121.8083
HKG,Hong Kong,Hong Kong,HK,22.3080,113.9185
SIN,Changi,Singapour,SG,1.3644,103.9915
BKK,Suvarnabhumi,Bangkok,TH,13.6900,100.7501
DEL,Indira Gandhi,Delhi,IN,28.5562,77.1000
BOM,Chhatrapati Shivaji,Mumbai,IN,19.0896,72.8656
SYD,Kingsford Smith,Sydney,AU,-33.9399,151.1753
MEL,Tullamarine,Melbourne,AU,-37.6690,144.8410
JNB,O. R. Tambo,Johannesburg,ZA,-26.1367,28.2411
CPT,Le Cap,Le Cap,ZA,-33.9715,18.6021
NBO,Jomo Kenyatta,Nairobi,KE,-1.3192,36.9278
DKR,Blaise Diagne,Dakar,SN,14.6710,-17.0732
ABJ,Felix Houphouet-Boigny,Abidjan,CI,5.2614,-3.9263
LOS,Murtala Muhammed,Lagos,NG,6.5774,3.3212
